F148W,F169M,F172M,N219M,N279N,u_prime,g_prime,r_prime,i_prime,z_prime,IRAC1,IRAC2,age,Z
2.57E-22,2.94E-22,3.11E-22,3.72E-22,4.21E-22,6.57283E-22,1.46674E-21,1.5161E-21,1.54341E-21,1.58301E-21,7.11292E-22,3.15749E-22,2.51E+08,0.00847
1.02E-22,1.25E-22,1.42E-22,1.85E-22,2.24E-22,4.14172E-22,1.06993E-21,1.12083E-21,1.15535E-21,1.24947E-21,9.20851E-22,5.04993E-22,3.98E+08,0.00847
2.45E-23,3.54E-23,5.21E-23,8.31E-23,1.11E-22,2.55538E-22,7.5558E-22,8.63328E-22,9.32566E-22,1.0265E-21,7.95255E-22,4.2423E-22,6.31E+08,0.00847
2.68E-24,4.51E-24,1.29E-23,3.41E-23,5.33E-23,1.56555E-22,4.93667E-22,6.42878E-22,7.29364E-22,8.18785E-22,5.84192E-22,3.14895E-22,1.00E+09,0.00847
2.97E-25,4.77E-25,1.89E-24,1.24E-23,2.43E-23,9.86272E-23,3.39497E-22,5.46818E-22,6.67185E-22,7.66145E-22,4.86836E-22,2.2978E-22,1.59E+09,0.00847
3.84E-26,5.96E-26,2.37E-25,4.29E-24,9.87E-24,5.10013E-23,1.79665E-22,3.07331E-22,3.87552E-22,4.58102E-22,2.42619E-22,1.03712E-22,2.51E+09,0.00847
1.24E-26,1.80E-26,6.02E-26,1.67E-24,4.71E-24,3.0208E-23,1.15547E-22,2.14979E-22,2.79722E-22,3.37407E-22,1.82671E-22,7.82445E-23,3.98E+09,0.00847
3.58E-27,5.01E-27,1.38E-26,6.53E-25,2.30E-24,1.7919E-23,7.44648E-23,1.44038E-22,1.89082E-22,2.24047E-22,1.15503E-22,5.0021E-23,6.31E+09,0.00847
1.57E-27,2.09E-27,4.06E-27,2.16E-25,1.05E-24,1.05253E-23,4.88914E-23,9.9496E-23,1.35772E-22,1.66555E-22,9.14314E-23,3.91312E-23,1.00E+10,0.00847
5.50E-29,8.57E-29,3.64E-28,5.42E-26,4.98E-25,1.23052E-23,2.05803E-22,7.13827E-22,1.12906E-21,1.50355E-21,1.07129E-21,4.38222E-22,1.59E+10,0.00847
7.58E-20,7.03E-20,7.27E-20,7.01E-20,5.58E-20,4.69304E-20,4.24678E-20,3.07666E-20,2.42239E-20,2.00767E-20,2.46007E-21,1.15154E-21,3.98E+06,0.01471
3.73E-20,3.41E-20,3.50E-20,3.18E-20,2.55E-20,2.09606E-20,2.39536E-20,3.57467E-20,4.44862E-20,5.20751E-20,3.04767E-20,1.23852E-20,6.31E+06,0.01471
