F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,,,ageuniq,Zuniq,ageconv,Zconv
1.26606E-21,1.29032E-21,1.291E-21,1.30534E-21,1.28639E-21,1.28658E-21,1.38245E-21,6.1431E-21,2.90561E-21,2.93022E-21,3.03994E-21,,,103000000,0.00368,0.801283722,-0.750122527
6.30913E-22,6.6136E-22,6.72144E-22,7.21274E-22,7.57095E-22,7.52209E-22,8.79771E-22,4.23438E-21,2.07441E-21,2.14782E-21,2.21134E-21,,,177000000,0.00619,0.824797327,-0.524279696
2.91049E-22,3.15723E-22,3.27636E-22,3.78177E-22,4.30571E-22,4.26474E-22,5.56984E-22,3.08469E-21,1.51358E-21,1.53529E-21,1.55537E-21,,,304000000,0.01035,0.848287358,-0.301029996
1.16665E-22,1.34179E-22,1.43526E-22,1.78394E-22,2.20172E-22,2.19441E-22,3.29892E-22,2.09167E-21,1.13834E-21,1.21715E-21,1.26768E-21,,,522000000,0.01712,0.87176705,-0.082466585
3.44865E-23,4.39651E-23,5.45493E-23,7.71614E-23,1.06709E-22,1.0752E-22,1.90506E-22,1.39023E-21,8.38389E-22,9.38344E-22,9.97895E-22,,,897000000,0.00016,0.895279244,-2.111850363
4.6658E-24,7.40044E-24,1.52438E-23,3.1919E-23,5.21044E-23,5.43352E-23,1.23E-22,1.03981E-21,8.07044E-22,9.56389E-22,1.05935E-21,,,1540000000,0.00026,0.918752072,-1.900996997
3.81997E-25,6.31377E-25,2.31924E-24,1.14012E-23,2.25219E-23,2.36559E-23,6.25876E-23,5.30641E-22,4.71667E-22,5.5849E-22,6.22837E-22,,,2650000000,0.00045,0.942324587,-1.662757832
8.24711E-26,1.30044E-25,5.19046E-25,4.74348E-24,1.09851E-23,1.19666E-23,3.65224E-23,3.1473E-22,3.03067E-22,3.60913E-22,4.05663E-22,,,4560000000,0.00076,0.965896484,-1.435156753
1.4345E-26,2.25806E-26,1.00225E-25,1.91197E-24,5.54297E-24,6.44615E-24,3.47448E-23,1.05279E-21,2.04853E-21,2.9306E-21,3.65306E-21,,,7840000000,0.00129,0.989431606,-1.205380635
2.4548E-27,3.83518E-27,1.73311E-26,7.59542E-25,3.18675E-24,4.09142E-24,4.07039E-23,1.24481E-21,2.17458E-21,2.98908E-21,3.64446E-21,,,13500000000,0.00218,1.013033377,-0.977513852
7.60281E-20,7.10026E-20,7.06689E-20,6.0594E-20,4.65712E-20,4.89453E-20,4.10975E-20,1.49522E-19,1.03328E-19,9.94766E-20,9.50519E-20,,,3980000,0.00368,0.659988307,-0.750122527
3.84486E-20,3.53854E-20,3.61515E-20,3.19488E-20,2.61212E-20,2.69351E-20,2.31158E-20,5.99207E-20,2.45932E-20,2.49519E-20,2.50218E-20,,,6840000,0.00619,0.68350561,-0.524279696
